datasource;status
COLINDA - Conference Linked Data;HttpException: 400
DrugBank;HttpException: 400
aksw.org Research Group dataset;HttpException: 400
eagle-i @ Vanderbilt University;HttpException: 400
Biographical Directory of the United States Congress;HttpException: 403
EUROVOC in SKOS;HttpException: 403
British Museum Collection;HttpException: 404
Passim;HttpException: 404
Public Spending in Greece;HttpException: 404
Fact Forge;HttpException: 404
ProDom;HttpException: 404
Europeana Linked Open Data;HttpException: 404
School of Electronics and Computer Science, University of Southampton;HttpException: 404
OSM Semantic Network;HttpException: 404
SPARQL Endpoint Status;HttpException: 404
notube;HttpException: 404
KEGG Glycan;HttpException: 404
HCLS Knowledge Base;HttpException: 404
KEGG Reaction;HttpException: 404
environment.data.gov.uk;HttpException: 404
DBLP Bibliography Database in RDF (FU Berlin);HttpException: 404
SmartLink: Linked Services Non-Functional Properties;HttpException: 404
research.data.gov.uk;HttpException: 404
photos;HttpException: 404
patents.data.gov.uk;HttpException: 404
lobid-organisations;HttpException: 404
Copac: union catalogue of major University, Specialist, and National Libraries in the UK and Ireland;HttpException: 404
WHO Global Health Observatory;HttpException: 404
PubChem;HttpException: 404
datos-artium-org;HttpException: 404
BizkaiSense;HttpException: 404
vulnerapedia;HttpException: 404
The Cancer Genome Atlas;HttpException: 404
Amsterdam Museum as Linked Open Data in the Europeana Data Model;HttpException: 404
ALPINO RDF Treebank;HttpException: 404
Leipzig Corpora Collection (LCC);HttpException: 404
Aristotle University;HttpException: 404
enaktingpsi;HttpException: 404
National Library of Greece Authority Records;HttpException: 404
EARTh;HttpException: 404
Pfam;HttpException: 404
ChEMBL-RDF (@ Uppsala University);HttpException: 404
Nobel Prizes;HttpException: 404
Deutsche Biographie;HttpException: 404
Russian Universities Specialities;HttpException: 404
Academic Bibliography data available from Acta Cryst E;HttpException: 404
Linked Data Service der Universitätsbibliothek Mannheim;HttpException: 404
Bio2RDF::INOH;HttpException: 404
Germany - Bundesministerium der Finanzen - Budget;HttpException: 404
gdlc;HttpException: 404
xLiD-Lexica;HttpException: 404
European Employment Services (EURES);HttpException: 404
EURAXESS - Researchers in Motion;HttpException: 404
mEducator: Linked Educational Resources;HttpException: 404
Hedatuz;HttpException: 404
LinkedStats;HttpException: 404
CORE - Semantic Similarity of Open Access publications;HttpException: 404
business.data.gov.uk;HttpException: 404
The Drug Interaction Knowledge Base;HttpException: 404
Sudoc bibliographic data;HttpException: 404
Learning Analytics and Knowledge (LAK) Dataset;HttpException: 404
Bio2RDF::neXtProt;HttpException: 404
fun;HttpException: 404
TheSoz Thesaurus for the Social Sciences (GESIS);HttpException: 404
US Political Violence;HttpException: 404
PDB;HttpException: 404
Teseo;HttpException: 500
Raphael Research Resource;HttpException: 500
LODsyndesis Dataset;HttpException: 500
Telegraphis Linked Data;HttpException: 500
GovWILD - Government Web Integration for Linked Data;HttpException: 500
USAGE review corpus;HttpException: 500
Reactome RDF;HttpException: 500
Dewey Decimal Classification (DDC);HttpException: 500
LODAC BDLS;HttpException: 500
Linked User Feedback;HttpException: 502
Source Code Ecosystem Linked Data;HttpException: 502
twc-opendap;HttpException: 502
Community Research and Development Information Service (CORDIS);HttpException: 503
DBTune.org John Peel sessions RDF server;HttpException: 503
University of Bristol;HttpException: 503
RÉPENER building energy;HttpException: 503
USPTO Patent data;HttpException: 503
Italian public schools (LinkedOpenData.it);HttpException: 503
Bible Ontology;HttpException: 503
DBTune.org/classical;HttpException: 503
DURAARK - Linked Building Data;HttpException: 503
ISTAT Immigration (LinkedOpenData.it);HttpException: 503
Crystal Eye: Aggregated Crystallographic Data;HttpException: 503
EuroSentiment;HttpException: 503
DBTune.org Musicbrainz D2R Server;HttpException: 503
Neurocommons text mining pilot;HttpException: 503
SIDER: Side Effect Resource;HttpException: 503
iServe: Linked Services Registry;HttpException: 503
OpenLink Software LOD Cache;HttpException: 503
Italian Museums;HttpException: 503
STITCH: Chemical-Protein Interactions;HttpException: 503
Accommodations in Piedmont (LinkedOpenData.it);HttpException: 503
MediCare;HttpException: 503
Linked Open Camera (LinkedOpenData.it);HttpException: 503
Diseasome;HttpException: 503
DBTune.org MySpace RDF Service;HttpException: 503
Accommodations in Tuscany (LinkedOpenData.it);HttpException: 503
intervalue;HttpException: 503
Project Gutenberg in RDF (FU Berlin);HttpException: 503
RxNorm;HttpException: 503
DBTune.org Jamendo RDF Server;HttpException: 503
LODUM;HttpException: 503
Linked Open Commerce;HttpException: 503
DailyMed;HttpException: 503
Kallikratis municipalities;HttpException: 503
Social Networks and Archival Context Fall 2011;HttpException: 503
DBTune.org Magnatune RDF server;HttpException: 503
Eurostat in RDF (FU Berlin);HttpException: 503
Social Networks and Archival Context Fall 2011;HttpException: 503
Postal codes Italy (LinkedOpenData.it);HttpException: 503
Linked Open Senate (linkedopendata.it);HttpException: 503
World Factbook (FU Berlin);HttpException: 503
EventMedia;HttpException: 503
COD inventory;HttpException: java.net.ConnectException: Connection refused: connect: Unexpected error making the query: java.net.ConnectException: Connection refused: connect
Bio2RDF::Sgd;HttpException: java.net.ConnectException: Connection refused: connect: Unexpected error making the query: java.net.ConnectException: Connection refused: connect
SITC-V4;HttpException: java.net.ConnectException: Connection refused: connect: Unexpected error making the query: java.net.ConnectException: Connection refused: connect
TERENCE Reading Comprehension Dataset;HttpException: java.net.ConnectException: Connection refused: connect: Unexpected error making the query: java.net.ConnectException: Connection refused: connect
LemonWordNet;HttpException: java.net.ConnectException: Connection refused: connect: Unexpected error making the query: java.net.ConnectException: Connection refused: connect
