dataset;spatial_class;geo_ontology
AEMET metereological dataset;http://www.w3.org/2003/01/geo/wgs84_pos#Point;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/storage_basin;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/seamount;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/gut;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/rapid;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/correctional_facility;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/camp;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/windmill;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/bar_physiographic_;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/country_2nd_order_division;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/tower;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/gulf;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/manmade_feature;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/firebreak;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/country_1st_order_division;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/plain;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/waterfall;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/isthmuse;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/valley;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/forest;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/delta;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/city;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/volcano;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/country;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/mine_site;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/offshore_platform;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/tribal_area;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/canal;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/fortification;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/industrial_site;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/research_area;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/estuary;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/uncategorized;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/woods;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/telecommunication_feature;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/seafloor_feature;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/airport_feature;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/snow_region;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/crater;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/fishery;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/residential_site;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/fracture_zone;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/moraine;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/volcanic_feature;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/research_facility;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/river;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/ocean_current;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/capitol_building;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/waterwork;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/political_area;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/hydrographic_structure;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/mountain_summit;W3C Basic Geo
