source;dataset
http://data.utpl.edu.ec/ecuadorresearch/lod/sparql;http://dbpedia.org/ontology/Bridge
http://data.utpl.edu.ec/ecuadorresearch/lod/sparql;http://dbpedia.org/ontology/RouteOfTransportation
http://data.utpl.edu.ec/ecuadorresearch/lod/sparql;http://dbpedia.org/ontology/School
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/BotanicalGardensInEngland
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/RailwayStationsOpenedIn1984
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/Forest108438533
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/Butch109883947
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/Hall103478756
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/StockExchange104323026
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/Pool103982060
http://dbpedia.org/sparql;http://dbpedia.org/ontology/RailwayStation
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/Festival100517728
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/PrivateSchoolsInGermany
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/Property105849040
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/MilitaryCemeteries
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/Prison104005630
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/MusicVenuesInEngland
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/RailwayStationsOpenedIn2007
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/College108278169
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/EventVenuesEstablishedIn1993
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/BridgesCompletedIn1938
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/Estate113246662
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/ProtectedAreasEstablishedIn1974
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/Gossip107223170
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/BuildingsAndStructuresCompletedIn1981
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/ConcertHall103086580
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/MuseumsInLeicestershire
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1915
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/VikingAgePopulatedPlaces
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/NursingSchool108283757
http://dbpedia.org/sparql;http://dbpedia.org/ontology/Bank
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/Line108593262
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/Show106619065
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/BroadcastingCompany108002015
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/GradeIIListedBuildingsInGreaterManchester
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/GradeIListedMonasteries
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/Officeholder110371450
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/BuildingsAndStructuresCompletedIn1837
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/ComprehensiveSchoolsInLeeds
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/AcademiesInNorthamptonshire
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/DefunctRugbyLeagueVenuesInEngland
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/RailwayStationsOpenedIn1871
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/ProtectedAreasEstablishedIn1975
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/ProtectedAreasEstablishedIn1979
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1884
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/TerroristAttack101246697
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/BuildingsAndStructuresCompletedIn1882
http://dbpedia.org/sparql;http://schema.org/SkiResort
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/IndependentSchoolsInWales
http://dbpedia.org/sparql;http://www.wikidata.org/entity/Q2095
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/GeoscienceInstitutes
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/GraphicDesignSchools
http://dbpedia.org/sparql;http://schema.org/TelevisionStation
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/ReligiousBuildingsCompletedIn1897
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn2006
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/Television106277280
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/HardCourtTennisTournaments
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/FilmFestival100517418
http://dbpedia.org/sparql;http://dbpedia.org/ontology/Beverage
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/ProtestantChurches
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/RomanCatholicSecondarySchoolsInEngland
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/Homicide100220023
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/BusinessSchoolsInEngland
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/BadPerson109831962
http://dbpedia.org/sparql;http://www.wikidata.org/entity/Q500834
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/AmusementParksInEngland
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/MountainRailways
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/DefunctGrammarSchoolsInEngland
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/AerospaceMuseumsInEngland
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/RollerCoastersIntroducedIn1995
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/CoalMinesInLancashire
http://dbpedia.org/sparql;http://www.wikidata.org/entity/Q1092563
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Bank
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/ResidentialHome
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Abbey
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/CardsShop
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/ManMadeStatue
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/PowerLine
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Cliff
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/HistoricTower
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/ManMadeObservatory
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Communications
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Shops
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/HistoricFountain
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/VendingMachine
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Pylon
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Footway
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/MilitaryBunker
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Bandstand
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Hobby
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Lamp
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Dressmaker
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/SocialCentre
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Brothel
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Jeweller
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Bay
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/BuildingNo
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Bar
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Wifi
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Decoration
