Source Class,Source Dataset,Target Class,Target Dataset
http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,DBpedia in Greek,http://linkedgeodata.org/ontology/Town,LinkLion - A Link Repository for the Web of Data
http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,DBpedia in Greek,http://dbpedia.org/ontology/City,DBpedia in French
http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,DBpedia in Greek,http://www.wikidata.org/entity/Q515,DBpedia in French
http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,DBpedia in Greek,http://schema.org/City,DBpedia in French
http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,DBpedia in Greek,http://www.wikidata.org/entity/Q515,DBpedia in French
http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,DBpedia in Greek,http://schema.org/City,DBpedia in French
http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,DBpedia in Greek,http://dbpedia.org/ontology/City,DBpedia in French
http://dbpedia.org/ontology/Locomotive,DBpedia Wikidata,http://dbpedia.org/class/yago/Railing104047401,DBpedia
http://dbpedia.org/ontology/Locomotive,DBpedia Wikidata,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact,DBpedia
http://dbpedia.org/ontology/Locomotive,DBpedia Wikidata,http://linkedgeodata.org/ontology/TramStop,LinkedGeoData
http://dbpedia.org/ontology/Locomotive,DBpedia Wikidata,http://dbpedia.org/ontology/MeanOfTransportation,DBpedia
http://dbpedia.org/ontology/Locomotive,DBpedia Wikidata,http://schema.org/Product,DBpedia
http://dbpedia.org/ontology/Locomotive,DBpedia Wikidata,http://dbpedia.org/class/yago/Conveyance103100490,DBpedia
http://dbpedia.org/ontology/Locomotive,DBpedia Wikidata,http://dbpedia.org/class/yago/Conveyance103100490,DBpedia
http://dbpedia.org/ontology/Locomotive,DBpedia Wikidata,http://dbpedia.org/class/yago/Railing104047401,DBpedia
http://dbpedia.org/ontology/Locomotive,DBpedia Wikidata,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact,DBpedia
http://dbpedia.org/ontology/Locomotive,DBpedia Wikidata,http://adl-gazetteer.geog.ucsb.edu/ontology/museum_building,Alexandria Digital Library (ADL) Gazetteer
http://dbpedia.org/ontology/Locomotive,DBpedia Wikidata,http://dbpedia.org/class/yago/Vehicle104524313,DBpedia
