REL,,CLASS,dataset_id,ontology_id,data,DATASET,,CLASS,dataset_id,ontology_id,datb,DATASET
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://adl-gazetteer.geog.ucsb.edu/ontology/forest,4313,1,428,Alexandria Digital Library (ADL) Gazetteer
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://adl-gazetteer.geog.ucsb.edu/ontology/railroad_feature,4229,1,428,Alexandria Digital Library (ADL) Gazetteer
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/class/yago/Residence104079244,3403,10,351,DBpedia
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/class/yago/ReligiousResidence104073948,3402,1,351,DBpedia
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/class/yago/Residence104079244,3403,1,351,DBpedia
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/class/yago/ReligiousResidence104073948,3402,10,351,DBpedia
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/ReligiousBuilding,7538,1,351,DBpedia
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q1370598,7537,1,351,DBpedia
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/class/yago/Monastery103781244,3401,10,351,DBpedia
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/class/yago/Monastery103781244,3401,1,351,DBpedia
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/class/yago/Convent103099454,12896,10,351,DBpedia
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q1370598,7537,10,351,DBpedia
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/ReligiousBuilding,7538,10,351,DBpedia
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/class/yago/WikicatMunicipalitiesInRhineland-Palatinate,5737,1,351,DBpedia
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/class/yago/WikicatTownsInRhineland-Palatinate,6128,10,351,DBpedia
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/class/yago/WikicatTownsInRhineland-Palatinate,6128,1,351,DBpedia
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/ReligiousBuilding,2418,10,175,DBpedia in Dutch
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/Church,2420,1,175,DBpedia in Dutch
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/Building,2419,10,175,DBpedia in Dutch
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/ReligiousBuilding,2418,1,175,DBpedia in Dutch
